State,Stations,Time Frame,Year,State Trend Sign,Table Name,Max State Year,Min State Year,Raw Data,State Data,State Non-Null Years,State Percent Change,State Trend Line,State Trend Line Intercept,State Trends
NC,,Spring (MAM),2015,+,StateAvgPv2.txt,2020,1979,10.4,10.40,2015,0.11,12.232526830,-12.734056308,0.01
NC,,Spring (MAM),2004,+,StateAvgPv2.txt,2020,1979,8.94,8.94,2004,0.11,12.096232828,-12.734056308,0.01
NC,,Spring (MAM),1984,+,StateAvgPv2.txt,2020,1979,16.82,16.82,1984,0.11,11.848425551,-12.734056308,0.01
NC,,Spring (MAM),2020,+,StateAvgPv2.txt,2020,1979,16.25,16.25,2020,0.11,12.294478649,-12.734056308,0.01
NC,,Spring (MAM),1998,+,StateAvgPv2.txt,2020,1979,15.31,15.31,1998,0.11,12.021890645,-12.734056308,0.01
NC,,Spring (MAM),1988,+,StateAvgPv2.txt,2020,1979,9.55,9.55,1988,0.11,11.897987006,-12.734056308,0.01
NC,,Spring (MAM),2013,+,StateAvgPv2.txt,2020,1979,11.32,11.32,2013,0.11,12.207746102,-12.734056308,0.01
NC,,Spring (MAM),2008,+,StateAvgPv2.txt,2020,1979,11.79,11.79,2008,0.11,12.145794283,-12.734056308,0.01
NC,,Spring (MAM),2001,+,StateAvgPv2.txt,2020,1979,10.2,10.20,2001,0.11,12.059061736,-12.734056308,0.01
NC,,Spring (MAM),1981,+,StateAvgPv2.txt,2020,1979,8.98,8.98,1981,0.11,11.811254459,-12.734056308,0.01
NC,,Spring (MAM),1989,+,StateAvgPv2.txt,2020,1979,16.05,16.05,1989,0.11,11.910377370,-12.734056308,0.01
NC,,Spring (MAM),2007,+,StateAvgPv2.txt,2020,1979,7.94,7.94,2007,0.11,12.133403919,-12.734056308,0.01
NC,,Spring (MAM),2002,+,StateAvgPv2.txt,2020,1979,9.31,9.31,2002,0.11,12.071452100,-12.734056308,0.01
NC,,Spring (MAM),1986,+,StateAvgPv2.txt,2020,1979,6.71,6.71,1986,0.11,11.873206279,-12.734056308,0.01
NC,,Spring (MAM),1995,+,StateAvgPv2.txt,2020,1979,8.41,8.41,1995,0.11,11.984719553,-12.734056308,0.01
NC,,Spring (MAM),2006,+,StateAvgPv2.txt,2020,1979,8.38,8.38,2006,0.11,12.121013555,-12.734056308,0.01
NC,,Spring (MAM),1985,+,StateAvgPv2.txt,2020,1979,6.32,6.32,1985,0.11,11.860815915,-12.734056308,0.01
