State,Stations,Time Frame,Year,State Trend Sign,Table Name,Max State Year,Min State Year,Raw Data,State Data,State Non-Null Years,State Percent Change,State Trend Line,State Trend Line Intercept,State Trends
NC,,Summer (JJA),2011,+,StateAvgPv2.txt,2020,1979,14.46,14.46,2011,0.37,15.279381211,-86.827835811,0.05
NC,,Summer (JJA),1993,+,StateAvgPv2.txt,2020,1979,9.26,9.26,1993,0.37,14.365442918,-86.827835811,0.05
NC,,Summer (JJA),1996,+,StateAvgPv2.txt,2020,1979,16.58,16.58,1996,0.37,14.517765967,-86.827835811,0.05
NC,,Summer (JJA),2012,+,StateAvgPv2.txt,2020,1979,14.9,14.90,2012,0.37,15.330155560,-86.827835811,0.05
NC,,Summer (JJA),1980,+,StateAvgPv2.txt,2020,1979,10,10.00,1980,0.37,13.705376374,-86.827835811,0.05
NC,,Summer (JJA),2005,+,StateAvgPv2.txt,2020,1979,15.43,15.43,2005,0.37,14.974735113,-86.827835811,0.05
NC,,Summer (JJA),1983,+,StateAvgPv2.txt,2020,1979,9.16,9.16,1983,0.37,13.857699422,-86.827835811,0.05
NC,,Summer (JJA),1991,+,StateAvgPv2.txt,2020,1979,16.78,16.78,1991,0.37,14.263894219,-86.827835811,0.05
NC,,Summer (JJA),2003,+,StateAvgPv2.txt,2020,1979,19.62,19.62,2003,0.37,14.873186414,-86.827835811,0.05
NC,,Summer (JJA),1992,+,StateAvgPv2.txt,2020,1979,17.25,17.25,1992,0.37,14.314668569,-86.827835811,0.05
NC,,Summer (JJA),2015,+,StateAvgPv2.txt,2020,1979,13.58,13.58,2015,0.37,15.482478609,-86.827835811,0.05
NC,,Summer (JJA),2004,+,StateAvgPv2.txt,2020,1979,18.1,18.10,2004,0.37,14.923960764,-86.827835811,0.05
NC,,Summer (JJA),1984,+,StateAvgPv2.txt,2020,1979,15.21,15.21,1984,0.37,13.908473772,-86.827835811,0.05
NC,,Summer (JJA),2020,+,StateAvgPv2.txt,2020,1979,17.21,17.21,2020,0.37,15.736350357,-86.827835811,0.05
NC,,Summer (JJA),1998,+,StateAvgPv2.txt,2020,1979,12.63,12.63,1998,0.37,14.619314666,-86.827835811,0.05
NC,,Summer (JJA),1988,+,StateAvgPv2.txt,2020,1979,12.68,12.68,1988,0.37,14.111571170,-86.827835811,0.05
NC,,Summer (JJA),2013,+,StateAvgPv2.txt,2020,1979,22.2,22.20,2013,0.37,15.380929910,-86.827835811,0.05
NC,,Summer (JJA),2008,+,StateAvgPv2.txt,2020,1979,13.38,13.38,2008,0.37,15.127058162,-86.827835811,0.05
NC,,Summer (JJA),2001,+,StateAvgPv2.txt,2020,1979,15.48,15.48,2001,0.37,14.771637715,-86.827835811,0.05
NC,,Summer (JJA),1981,+,StateAvgPv2.txt,2020,1979,15.68,15.68,1981,0.37,13.756150723,-86.827835811,0.05
NC,,Summer (JJA),1989,+,StateAvgPv2.txt,2020,1979,18.93,18.93,1989,0.37,14.162345520,-86.827835811,0.05
NC,,Summer (JJA),2007,+,StateAvgPv2.txt,2020,1979,9.47,9.47,2007,0.37,15.076283812,-86.827835811,0.05
NC,,Summer (JJA),2002,+,StateAvgPv2.txt,2020,1979,12.42,12.42,2002,0.37,14.822412064,-86.827835811,0.05
NC,,Summer (JJA),1986,+,StateAvgPv2.txt,2020,1979,15.24,15.24,1986,0.37,14.010022471,-86.827835811,0.05
NC,,Summer (JJA),1995,+,StateAvgPv2.txt,2020,1979,19.16,19.16,1995,0.37,14.466991617,-86.827835811,0.05
NC,,Summer (JJA),2006,+,StateAvgPv2.txt,2020,1979,16.95,16.95,2006,0.37,15.025509463,-86.827835811,0.05
NC,,Summer (JJA),1985,+,StateAvgPv2.txt,2020,1979,17.36,17.36,1985,0.37,13.959248121,-86.827835811,0.05
